Merchant Id,Transaction Type,Merchant Order Id,Merchant Reference Id,PhonePe Reference Id,PhonePe Transaction Reference Id,PhonePe Attempt Reference Id,Transaction UTR,Total Transaction Amount,Transaction Date,Transaction Status,UPI Amount,Wallet Amount,Credit card Amount,Debit card Amount,External Wallet Amount,EGV Amount,Store Id,Terminal Id,Store Name,Terminal Name,Error Code,Detailed Error Code,Error Description,Error Source,Error Stage
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769697340100,ORDER_1769697340100,OMO2601292005409021219593W,OMO2601292005409021219593W,ORDER_1769697340100,943685764752,300.0,2026-01-29 20:05:55,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769697134762,ORDER_1769697134762,OMO2601292002171517140372W,OMO2601292002171517140372W,ORDER_1769697134762,931367075995,300.0,2026-01-29 20:02:48,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769697013800,ORDER_1769697013800,OMO2601292000140567452952W,OMO2601292000140567452952W,ORDER_1769697013800,748217167677,300.0,2026-01-29 20:00:31,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769696646450,ORDER_1769696646450,OMO2601291954067287452726W,OMO2601291954067287452726W,ORDER_1769696646450,559585557047,300.0,2026-01-29 19:54:35,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769696474341,ORDER_1769696474341,OMO2601291951150277452583W,OMO2601291951150277452583W,ORDER_1769696474341,565806225095,300.0,2026-01-29 19:51:36,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769694857495,ORDER_1769694857495,OMO2601291924195567452184W,OMO2601291924195567452184W,ORDER_1769694857495,303038776861,300.0,2026-01-29 19:24:43,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769694314163,ORDER_1769694314163,OMO2601291915147644563784W,OMO2601291915147644563784W,ORDER_1769694314163,815908913009,300.0,2026-01-29 19:15:32,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769693743129,ORDER_1769693743129,OMO2601291905440402534768W,OMO2601291905440402534768W,ORDER_1769693743129,961155911435,300.0,2026-01-29 19:06:11,COMPLETED,300.0,,,,,,,,,,,,,,
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769693413265,ORDER_1769693413265,OMO2601291900137373707725W,OMO2601291900137373707725W,ORDER_1769693413265,,300.0,2026-01-29 19:00:36,ERRORED,,,,,,,,,,,TXN_NOT_COMPLETED,TXN_AUTO_FAILED,Payment couldn't be completed due to issues related to customer or their bank.,CUSTOMER,PRE_AUTHENTICATION
M23TCNCX7K1K7,FORWARD_TRANSACTION,ORDER_1769692824811,ORDER_1769692824811,OMO2601291850252637603256W,OMO2601291850252637603256W,ORDER_1769692824811,,300.0,2026-01-29 18:50:36,ERRORED,,,,,,,,,,,TXN_NOT_COMPLETED,TXN_AUTO_FAILED,Payment couldn't be completed due to issues related to customer or their bank.,CUSTOMER,PRE_AUTHENTICATION
